GeneID,pvalue,padj,media_ANT,media_MED,media_POS,FC_ANT_vs_POS,FC_MED_vs_POS,FC_ANT_vs_MED,Patron,subject_acc,pct_identity,evalue,bit_score
L12_84187,3.1008301e-13,1.1783003216257575e-10,10.535696,10.863731,7.596751,2.9389449999999995,3.2669799999999998,-0.3280349999999998,Alto_ANT-MED,XM_051393016.1,100.0,1.79e-24,111.0
L12_78943,3.4917943e-13,1.2666259830973563e-10,17.359467,16.740973,12.050022,5.309444999999998,4.690951,0.6184939999999983,Alto_ANT-MED,XM_051429538.1,100.0,1.79e-24,111.0
L12_88885,3.704609e-13,1.27827083416647e-10,15.004601,15.272333,5.455547,9.549053999999998,9.816786,-0.2677320000000005,Alto_ANT-MED,XM_051388600.1,100.0,1.79e-24,111.0
L2_49692,3.645653e-13,1.27827083416647e-10,5.24731,5.393726,10.602565,-5.3552550000000005,-5.208839,-0.1464160000000003,Alto_POS,,,,
L12_88843,5.258616e-13,1.7712770914715334e-10,13.292753,12.966482,5.901021,7.391731999999999,7.065460999999999,0.3262710000000002,Alto_ANT-MED,XM_051390718.1,96.667,3.8700000000000004e-21,100.0
L12_82095,5.826096e-13,1.8753791783571568e-10,15.549675,15.676129,12.377864,3.171811,3.298264999999999,-0.1264539999999989,Alto_ANT-MED,XM_051378812.1,100.0,1.79e-24,111.0
L2_52612,5.8328044e-13,1.8753791783571568e-10,5.7431335,5.527995,0.119987294,5.623146206,5.408007705999999,0.2151385000000001,Alto_ANT-MED,,,,
L12_39962,6.383383e-13,2.0067937192042683e-10,8.421955,8.34691,3.292363,5.129592000000001,5.054547,0.0750450000000011,Alto_ANT-MED,XM_051423081.1,100.0,8.309999999999999e-23,106.0
L12_90055,6.5891536e-13,2.026086570652147e-10,8.12034,8.139873,11.571753,-3.4514129999999987,-3.43188,-0.0195329999999991,Alto_POS,,,,
L3_76941,6.7311846e-13,2.026086570652147e-10,8.163736,8.256795,3.8695896,4.294146400000001,4.387205400000001,-0.0930590000000002,Alto_ANT-MED,XM_051382469.1,100.0,1.79e-24,111.0
L12_85491,7.2052986e-13,2.1236116639637248e-10,8.682327,9.202164,4.8073125,3.8750145000000007,4.3948515,-0.519836999999999,Alto_ANT-MED,,,,
L2_88422,7.614871e-13,2.19852209648671e-10,2.699644,2.5496297,11.591251,-8.891607,-9.0416213,0.1500143,Alto_POS,,,,
L1_81903,7.947373e-13,2.2486297812044503e-10,10.883135,10.155267,4.4212523,6.461882699999999,5.7340147,0.7278679999999991,Alto_ANT-MED,XM_051383181.1,100.0,1.79e-24,111.0
L2_87513,1.0468093e-12,2.903767008128485e-10,4.4953394,4.531548,8.880523,-4.3851836,-4.348975,-0.0362086000000001,Alto_POS,,,,
L12_89668,1.0780794e-12,2.9329978214146975e-10,11.541606,11.208871,3.669402,7.872204,7.539469,0.3327349999999995,Alto_ANT-MED,XM_051395600.1,98.333,8.309999999999999e-23,106.0
L12_84085,1.2184297e-12,3.252287606751869e-10,9.146385,9.057379,12.028729,-2.882344,-2.971350000000001,0.0890060000000012,Alto_POS,,,,
L12_73826,1.3739839e-12,3.5995834667630037e-10,11.602614,11.202257,6.92006,4.6825540000000005,4.282196999999999,0.4003570000000014,Alto_ANT-MED,XM_051420001.1,100.0,1.79e-24,111.0
L12_89553,1.4848757e-12,3.819370275126924e-10,10.85816,10.662405,8.646493,2.2116670000000003,2.015912,0.1957550000000001,Alto_ANT-MED,XM_051406250.1,100.0,1.79e-24,111.0
L12_75419,1.5365587e-12,3.8817315400690387e-10,16.375515,15.832865,12.836761,3.538754000000001,2.9961040000000008,0.5426500000000001,Alto_ANT-MED,XM_051402336.1,100.0,1.79e-24,111.0
L2_82793,1.6502647e-12,4.0958411000171025e-10,6.373214,6.3828764,11.091044,-4.71783,-4.7081676,-0.0096623999999998,Alto_POS,,,,
L12_72937,1.7426228e-12,4.250497264046154e-10,11.645705,11.385496,7.217748,4.427956999999999,4.167748,0.2602089999999997,Alto_ANT-MED,XM_051390817.1,100.0,1.79e-24,111.0
L12_86583,2.164652e-12,5.190395038975011e-10,8.397415,8.713419,14.4412155,-6.0438005,-5.7277965,-0.3160039999999995,Alto_POS,,,,
L12_87488,2.9981835e-12,7.069217032751027e-10,12.752982,12.872796,9.195473,3.557509,3.677323,-0.1198139999999998,Alto_ANT-MED,XM_051386816.1,100.0,1.79e-24,111.0
L12_76446,3.101471e-12,7.076856268543983e-10,10.000852,10.5079365,14.034338,-4.033486,-3.5264015000000004,-0.5070844999999995,Alto_POS,,,,
L12_54225,3.066574e-12,7.076856268543983e-10,6.8207774,7.0703397,11.333811,-4.513033600000001,-4.263471300000001,-0.2495623,Alto_POS,,,,
L1_31275,3.3310175e-12,7.4799849346366e-10,6.8450856,6.774195,8.734766,-1.8896804000000005,-1.9605710000000007,0.0708906000000002,Alto_POS,,,,
L12_54481,3.5442912e-12,7.776773568729307e-10,6.5429926,6.5975385,10.429728,-3.886735400000001,-3.832189500000001,-0.0545458999999999,Alto_POS,,,,
L12_87137,3.573127e-12,7.776773568729307e-10,12.752462,12.524881,10.342039,2.410423,2.182842000000001,0.2275809999999989,Alto_ANT-MED,XM_051409256.1,100.0,1.79e-24,111.0
L12_87980,3.8326274e-12,8.215178671421796e-10,12.415188,12.825818,8.618657,3.796531,4.207160999999999,-0.4106299999999994,Alto_ANT-MED,XM_051402584.1,100.0,1.79e-24,111.0
L2_52768,4.4379947e-12,9.370792640309051e-10,7.370714,7.0645633,5.6329317,1.7377823,1.4316315999999991,0.3061507000000008,Alto_ANT-MED,XM_051406666.1,100.0,3.92e-11,67.6
L12_82553,4.665576e-12,9.706456599594788e-10,8.707157,8.613209,14.536046,-5.828889,-5.922837000000001,0.093948000000001,Alto_POS,,,,
L2_49817,5.179806e-12,1.062010328919677e-09,7.2704196,7.307011,9.389533,-2.1191134,-2.082522,-0.0365913999999998,Alto_POS,,,,
L12_86107,6.1100326e-12,1.2348375922482948e-09,9.959141,9.99411,13.060124,-3.1009829999999994,-3.066014000000001,-0.0349689999999984,Alto_POS,,,,
L12_89175,6.227347e-12,1.2408208562682423e-09,16.774864,16.9321,11.07726,5.697604,5.854839999999998,-0.1572359999999975,Alto_ANT-MED,XM_051401908.1,100.0,2.3099999999999999e-23,108.0
L12_83044,6.7273418e-12,1.2861041091316242e-09,8.164629,8.606016,12.145042,-3.980413,-3.539026,-0.4413870000000006,Alto_POS,,,,
L2_85695,6.578135e-12,1.2861041091316242e-09,0.630037,1.622015,13.192639,-12.562602,-11.570624,-0.991978,Alto_POS,,,,
L12_90042,6.6738364e-12,1.2861041091316242e-09,12.310149,12.039424,7.8619623,4.448186699999999,4.1774617,0.2707249999999987,Alto_ANT-MED,XM_051397248.1,100.0,2.3099999999999999e-23,108.0
L12_85196,7.096195e-12,1.338531638907699e-09,11.939806,11.288233,5.4675074,6.472298600000001,5.8207256,0.6515730000000008,Alto_ANT-MED,XM_051397376.1,100.0,1.08e-16,86.1
L12_88270,7.485716e-12,1.3934266423572515e-09,16.748379,16.091978,0.45206156,16.29631744,15.63991644,0.6564009999999989,Alto_ANT-MED,XM_051423447.1,100.0,1.79e-24,111.0
L2_34731,8.742982e-12,1.6063242443888702e-09,6.1623917,6.397579,9.598379,-3.4359873,-3.200799999999999,-0.2351873000000006,Alto_POS,,,,
L3_76301,9.533579e-12,1.7291222962448834e-09,10.976451,11.092921,13.045262,-2.0688109999999984,-1.9523409999999988,-0.1164699999999996,Alto_POS,,,,
L3_35361,1.0775862e-11,1.9055764917505663e-09,3.9261534,4.145686,8.182914,-4.2567606,-4.037228,-0.2195326000000004,Alto_POS,,,,
L12_87058,1.0743422e-11,1.9055764917505663e-09,11.532968,12.177248,15.610318,-4.077349999999999,-3.433069999999999,-0.6442800000000002,Alto_POS,,,,
L12_89717,1.1324343e-11,1.977845502399375e-09,9.516187,9.200981,12.063428,-2.547241,-2.8624469999999995,0.3152059999999999,Alto_POS,,,,
L2_58463,1.676509e-11,2.8923868117664953e-09,4.3661385,4.9561944,2.5968394,1.7692991,2.3593550000000003,-0.5900559000000003,Alto_ANT-MED,XM_051401654.1,100.0,1.79e-24,111.0
L12_86214,1.7974965e-11,3.063757031582939e-09,15.647822,15.464839,5.16232,10.485502,10.302519,0.1829830000000001,Alto_ANT-MED,XM_051392412.1,100.0,1.79e-24,111.0
L2_75459,2.1929621e-11,3.6933137228499966e-09,0.173881,1.107657,10.729939,-10.556058,-9.622282,-0.933776,Alto_POS,,,,
L12_73756,2.27417e-11,3.785021386572682e-09,15.668162,14.792267,10.806238,4.861924,3.986029,0.8758949999999999,Alto_ANT-MED,XM_051384715.1,100.0,1.79e-24,111.0
L1_74986,2.4285962e-11,3.995040770421454e-09,8.341544,7.8679633,3.471437,4.870107000000001,4.3965263000000006,0.4735807000000003,Alto_ANT-MED,XR_007887035.1,100.0,1.79e-24,111.0
L12_78219,2.6074223e-11,4.239908364574562e-09,12.598088,13.196801,8.241067,4.357021000000001,4.955734000000001,-0.598713,Alto_ANT-MED,XM_051405247.1,98.333,8.309999999999999e-23,106.0
L12_74194,2.6499527e-11,4.260100020912728e-09,6.7585382,6.504703,9.592028,-2.8334898000000006,-3.0873250000000008,0.2538352000000001,Alto_POS,,,,
L12_86516,3.207948e-11,5.099195773298303e-09,11.122782,11.058452,13.180181,-2.0573989999999984,-2.1217289999999984,0.06433,Alto_POS,,,,
L12_89683,3.2456003e-11,5.101723074937528e-09,12.064104,12.1262865,15.199259,-3.1351549999999992,-3.0729724999999988,-0.0621825000000004,Alto_POS,,,,
L1_89155,3.3444296e-11,5.1427875512653955e-09,11.133305,10.1272135,3.973304,7.160000999999999,6.153909499999999,1.0060915,Alto_ANT-MED,XM_051421703.1,100.0,1.79e-24,111.0
L1_34753,3.312735e-11,5.1427875512653955e-09,7.719164,7.622043,3.880682,3.838482,3.741361,0.0971210000000004,Alto_ANT-MED,XM_051388956.1,100.0,1.79e-24,111.0
L12_83297,3.3950034e-11,5.1644207263789205e-09,9.317653,9.3319235,11.704897,-2.387244000000001,-2.3729735000000005,-0.0142705000000002,Alto_POS,,,,
L12_75446,3.636107e-11,5.4723410958940075e-09,9.321057,9.789345,14.454147,-5.133090000000001,-4.664802,-0.4682880000000011,Alto_POS,,,,
L1_39024,3.749667e-11,5.583846061443652e-09,5.81719,5.623159,8.475763,-2.6585730000000005,-2.8526040000000004,0.1940309999999998,Alto_POS,,,,
L3_72990,3.9247095e-11,5.783631824873327e-09,10.859018,10.828927,12.513841,-1.6548229999999986,-1.6849139999999991,0.0300910000000005,Alto_POS,,,,
L12_88267,4.068217e-11,5.933305680928513e-09,9.8380375,9.646323,11.647608,-1.8095704999999995,-2.0012849999999998,0.1917144999999998,Alto_POS,,,,
L12_85622,4.7759824e-11,6.894471717739619e-09,7.9301195,7.4995966,13.000158,-5.070038500000001,-5.5005614000000005,0.4305228999999997,Alto_POS,,,,
L2_66142,5.0122732e-11,7.162487824292136e-09,0.5172468,0.7697712,4.716241,-4.1989942000000005,-3.9464698,-0.2525244,Alto_POS,,,,
L12_88408,5.455027e-11,7.699725569522131e-09,18.418144,18.529985,14.428922,3.9892220000000016,4.101063,-0.1118409999999983,Alto_ANT-MED,XM_051429584.1,100.0,8.43e-13,73.1
L12_88335,5.4970827e-11,7.699725569522131e-09,15.485708,15.533419,5.5816703,9.9040377,9.9517487,-0.0477109999999996,Alto_ANT-MED,XM_051398969.1,98.333,8.309999999999999e-23,106.0
L12_84881,5.7305483e-11,7.948045802900956e-09,11.384664,11.856918,6.2595344,5.125129600000001,5.597383600000001,-0.4722539999999995,Alto_ANT-MED,XM_051429584.1,100.0,1.79e-24,111.0
L12_89954,6.058232e-11,8.320951822932401e-09,11.644071,11.278451,14.466782,-2.822711,-3.188331,0.3656199999999998,Alto_POS,,,,
L12_85370,6.661477e-11,9.061530198737858e-09,7.285771,7.7195735,11.58461,-4.298838999999999,-3.8650365,-0.4338024999999996,Alto_POS,,,,
L12_89217,6.9470395e-11,9.359977847881822e-09,4.231217,5.1828933,15.677664,-11.446447,-10.4947707,-0.9516763,Alto_POS,,,,
L12_72590,7.454533e-11,9.948988289263508e-09,7.253462,7.168123,9.625539,-2.372077,-2.4574160000000003,0.0853390000000002,Alto_POS,,,,
L1_26773,7.771266e-11,1.027477606663478e-08,1.8760934,1.2170105,7.129969,-5.2538756,-5.9129585,0.6590829,Alto_POS,,,,
L12_84958,8.214848e-11,1.0760690568282176e-08,14.8699045,14.651354,9.232206,5.637698500000001,5.419148,0.2185505000000009,Alto_ANT-MED,XM_051424217.1,100.0,1.79e-24,111.0
L2_33818,8.4239477e-11,1.0933356643331506e-08,8.290958,8.825969,5.989131,2.3018269999999994,2.836838,-0.5350110000000008,Alto_ANT-MED,XM_051396132.1,100.0,1.79e-24,111.0
L12_88462,8.736506e-11,1.1235940896379341e-08,10.896173,10.9614105,13.978314,-3.082141,-3.0169035,-0.0652375000000002,Alto_POS,,,,
L12_81307,8.827193e-11,1.125029742301433e-08,8.660349,8.659205,2.7217832,5.9385658,5.9374218,0.001144,Alto_ANT-MED,XM_051423072.1,100.0,1.79e-24,111.0
L12_75184,8.971751e-11,1.1332443133199586e-08,4.7599616,4.792428,8.689497,-3.9295354,-3.8970689999999992,-0.0324664000000005,Alto_POS,,,,
L3_75571,9.4097105e-11,1.1780457928846345e-08,5.8040876,6.1326637,1.0844871,4.7196005,5.0481766,-0.3285761000000002,Alto_ANT-MED,,,,
L2_73794,1.013251e-10,1.2574089518262293e-08,0.7135006,0.68516284,5.3381147,-4.6246141000000005,-4.65295186,0.0283377599999999,Alto_POS,,,,
L12_84618,1.09742465e-10,1.3500231773793022e-08,10.258253,9.961573,7.699086,2.5591669999999995,2.2624869999999992,0.2966800000000003,Alto_ANT-MED,XM_051395902.1,100.0,1.79e-24,111.0
L1_53088,1.126383e-10,1.373701767938216e-08,17.012203,16.41593,3.315918,13.696285,13.100012,0.596273,Alto_ANT-MED,XM_051407065.1,100.0,1.79e-24,111.0
L2_63299,1.3262887e-10,1.5856234743506048e-08,5.747542,5.8062944,3.5530407,2.1945013,2.2532537,-0.0587523999999994,Alto_ANT-MED,XM_051391675.1,100.0,1.79e-24,111.0
L1_32384,1.3154744e-10,1.5856234743506048e-08,5.7682047,5.749101,7.3097143,-1.5415096000000004,-1.5606133000000009,0.0191037000000005,Alto_POS,,,,
L2_42124,1.3337753e-10,1.5856234743506048e-08,0.7911041,0.90314335,5.6182394,-4.8271353,-4.7150960500000005,-0.11203925,Alto_POS,,,,
L12_76550,1.3816548e-10,1.6288558601917914e-08,5.8239574,5.646379,3.6847577,2.1391997000000003,1.9616213,0.1775784000000007,Alto_ANT-MED,XM_051393778.1,100.0,1.79e-24,111.0
L1_9399,1.4017348e-10,1.638871303450734e-08,7.114703,6.890495,4.487399,2.6273040000000005,2.403096,0.2242080000000008,Alto_ANT-MED,XM_051411215.1,100.0,2.99e-22,104.0
L12_89586,1.462022e-10,1.6953463668556073e-08,15.266682,15.0999975,12.234099,3.032582999999999,2.8658985,0.1666844999999988,Alto_ANT-MED,XM_051412449.1,100.0,1.79e-24,111.0
L12_83439,1.6930861e-10,1.9473242997450282e-08,9.45811,9.430171,11.589537,-2.1314270000000004,-2.1593660000000003,0.0279389999999999,Alto_POS,,,,
L12_81038,1.8165654e-10,2.07249599147854e-08,17.462212,17.46483,10.348475,7.113737,7.116354999999999,-0.0026179999999982,Alto_ANT-MED,XM_051406893.1,100.0,1.79e-24,111.0
L12_82238,1.8608683e-10,2.1060562676367133e-08,13.129091,12.872426,10.386902,2.742189000000001,2.4855240000000016,0.2566649999999999,Alto_ANT-MED,XM_051388665.1,100.0,1.79e-24,111.0
L1_65902,1.9203884e-10,2.15616945571188e-08,7.1611176,6.7744412,3.4790168,3.6821008,3.2954244,0.3866763999999998,Alto_ANT-MED,XM_051412986.1,100.0,3.05e-07,54.7
L12_81389,2.0377483e-10,2.26992324792262e-08,13.731129,13.755248,16.055202,-2.324073000000002,-2.2999540000000014,-0.0241190000000006,Alto_POS,,,,
L1_13695,2.253282e-10,2.48516677607095e-08,9.950672,9.777483,6.2557216,3.6949504000000006,3.5217614,0.1731890000000007,Alto_ANT-MED,XM_051385588.1,98.333,2.99e-22,104.0
L12_87183,2.2661095e-10,2.48516677607095e-08,8.371558,9.19031,4.4294977,3.942060300000001,4.7608123,-0.8187519999999999,Alto_ANT-MED,XM_051428607.1,100.0,1.79e-24,111.0
L2_48202,2.3142702e-10,2.5184600012064282e-08,5.949681,5.7915945,7.131673,-1.1819920000000002,-1.3400784999999995,0.1580864999999995,Alto_POS,,,,
L1_23817,2.4116836e-10,2.6044342230355892e-08,7.221178,6.982631,2.921955,4.299223,4.060675999999999,0.2385470000000005,Alto_ANT-MED,XM_051398802.1,100.0,1.79e-24,111.0
L12_89187,2.5646488e-10,2.7486428913018706e-08,13.50741,13.284419,7.925307,5.582103,5.359112,0.2229910000000003,Alto_ANT-MED,XM_051394778.1,100.0,1.79e-24,111.0
L12_86694,2.9432323e-10,3.13066975150895e-08,8.683563,8.168696,10.987314,-2.303751,-2.818617999999999,0.5148669999999989,Alto_POS,,,,
L12_90074,2.9742933e-10,3.140099065656325e-08,11.768147,11.6967535,12.863047,-1.094899999999999,-1.1662935,0.071393500000001,Alto_POS,,,,
L12_88439,3.1084077e-10,3.257381014982248e-08,10.316589,10.093256,14.678955,-4.362366,-4.585699,0.2233330000000002,Alto_POS,,,,
L12_71788,3.1944059e-10,3.298632085646918e-08,6.621244,6.531777,7.9920807,-1.3708367,-1.4603037,0.0894669999999999,Alto_POS,,,,
L2_1593,3.1871106e-10,3.298632085646918e-08,2.7788286,3.0605214,5.8272095,-3.0483809,-2.7666881000000005,-0.2816927999999996,Alto_POS,,,,
L12_59925,3.6177658e-10,3.708734268263756e-08,8.926809,9.637004,5.5679793,3.3588297000000003,4.069024699999999,-0.7101949999999988,Alto_ANT-MED,XM_051378720.1,100.0,1.79e-24,111.0
L1_50292,3.7525238e-10,3.819205386079076e-08,9.471003,9.239217,5.9164124,3.5545906,3.3228046000000004,0.2317859999999996,Alto_ANT-MED,XM_051414701.1,96.667,1.39e-20,99.0
L1_42385,3.890545e-10,3.931395831935359e-08,7.468921,7.009581,2.139037,5.329884,4.870544,0.4593400000000001,Alto_ANT-MED,,,,
L2_39317,4.3807696e-10,4.39537220138971e-08,6.30494,6.0332804,9.848756,-3.543816,-3.8154756,0.2716596000000004,Alto_POS,,,,
L3_74051,4.4519483e-10,4.404315521418826e-08,12.508722,12.342076,14.1974535,-1.6887314999999994,-1.8553774999999997,0.166646,Alto_POS,,,,
L12_88728,4.4215195e-10,4.404315521418826e-08,9.65424,9.685438,11.811114,-2.156874,-2.1256760000000003,-0.0311979999999998,Alto_POS,,,,
L12_89022,4.534945e-10,4.455268456764194e-08,5.9355106,6.1961985,8.433833,-2.4983224,-2.2376344999999995,-0.2606879000000006,Alto_POS,,,,
L1_25207,4.6719933e-10,4.5582544752141824e-08,9.545157,9.310014,11.130877,-1.5857200000000002,-1.8208629999999992,0.235142999999999,Alto_POS,,,,
L12_89125,4.7138005e-10,4.5675435015643726e-08,9.965834,9.669264,11.994522,-2.0286880000000007,-2.325258,0.2965699999999991,Alto_POS,,,,
L12_85672,5.110807e-10,4.918543094240796e-08,4.660972,4.723844,8.516272,-3.8553000000000006,-3.792428000000001,-0.0628719999999996,Alto_POS,,,,
L12_86004,5.2615434e-10,5.0293955951109615e-08,6.104874,6.3802915,9.566242,-3.461368000000001,-3.185950500000001,-0.2754175000000005,Alto_POS,,,,
L12_33036,5.3708055e-10,5.0508988038034633e-08,13.346142,13.309106,14.222288,-0.8761460000000003,-0.9131820000000008,0.0370360000000005,Uniforme,,,,
L1_44787,5.3289756e-10,5.0508988038034633e-08,7.4453473,6.9819903,4.7383,2.7070473,2.2436903,0.4633570000000002,Alto_ANT-MED,XM_051377315.1,98.333,8.309999999999999e-23,106.0
L2_67695,5.391148e-10,5.0508988038034633e-08,8.500294,8.489543,12.150483,-3.6501889999999992,-3.66094,0.0107510000000008,Alto_POS,,,,
L12_88467,5.4991417e-10,5.1181814207510924e-08,7.4209876,8.649687,13.6038685,-6.182880900000001,-4.954181500000001,-1.2286994,Alto_POS,,,,
L1_89470,5.7833754e-10,5.347543295647896e-08,11.356862,10.486642,2.9609952,8.3958668,7.5256468,0.8702199999999998,Alto_ANT-MED,XM_051424476.1,100.0,1.79e-24,111.0
L1_81852,6.233282e-10,5.7261197155090607e-08,8.174492,7.5121307,2.1856575,5.988834500000001,5.326473200000001,0.6623613000000006,Alto_ANT-MED,XM_051383334.1,100.0,1.79e-24,111.0
L12_73933,6.290927e-10,5.7417901569165685e-08,10.276218,10.5202875,13.933861,-3.657643,-3.4135735,-0.2440695000000001,Alto_POS,,,,
L12_85792,6.462701e-10,5.8607583369373883e-08,12.108504,12.291346,14.934535,-2.8260310000000004,-2.643189,-0.1828420000000008,Alto_POS,,,,
